id,username,following_count,tweet_count,listed_count,created_at,pinned_tweet_id,protected,verified,withheld,location,account_type
989116382611755009,FlauretZoe,6,281,0,2018-04-25T12:18:17.000Z,,False,False,,USA,human
1651183375,shahir_raj,20,2151,0,2013-08-06T20:22:04.000Z,1477318580186222594,False,False,,"Kolkata, India",bot
894370464440532992,rrznrkfvza782,0,107,0,2017-08-07T01:31:50.000Z,,False,False,,,human
110825249,kotespears,0,3042,3,2010-02-02T22:21:12.000Z,,False,False,,,bot
911509904795545600,GennusaGiusi,37,3849,0,2017-09-23T08:37:51.000Z,,False,False,,,human
298258217,lou_dog1017,396,9344,4,2011-05-14T00:35:03.000Z,,False,False,,"Trap City, Tx",human
798691116,ProfessorMedley,5003,73043,41,2012-09-02T17:24:38.000Z,1351271016513859586,False,False,,https://solo.to/marcamedley,human
18812728,andrewschulz,771,9232,799,2009-01-09T19:53:18.000Z,1394326801510551553,False,True,,"New York, NY",human
21696322,Chad_Ovadoze,1909,124668,17,2009-02-23T21:31:37.000Z,1240216410598584326,False,False,,,human
587927366,gsimione91,0,859,0,2012-05-23T02:10:17.000Z,,False,False,,,human
2612465485,BigtTane,0,1135,0,2014-07-08T22:05:34.000Z,,False,False,,"St Petersburg, FL",bot
1146556242,BethCaffel_xx,447,25056,0,2013-02-04T00:02:42.000Z,,True,False,,,human
16715614,the_eco_creativ,1725,39446,267,2008-10-13T02:55:51.000Z,,False,False,,"washington, dc",human
863350680937000960,Best_AllWorlds,60,13,0,2017-05-13T11:10:17.000Z,,False,False,,,human
94048125,Tamara_182,526,796,4,2009-12-02T08:20:49.000Z,,False,False,,Hollywood/San Francisco,human
2376273800,ArcinX44,124,557,0,2014-03-07T01:04:52.000Z,,False,False,,"San Marcos, CA",human
359600011,cmuirmath,964,8584,64,2011-08-21T21:30:15.000Z,,False,False,,"Bellingham, WA",human
110301074,lydiacachosi,2226,37460,4518,2010-02-01T02:30:26.000Z,1511804872122900492,False,True,,El mundo,human
822867823517200386,moon_rise_bot,0,812,41,2017-01-21T18:05:52.000Z,,False,False,,the moon,bot
173477795,stushotspurs,4,1123,0,2010-08-01T15:44:24.000Z,,False,False,,,bot
831862062833876993,paopia64,250,20604,0,2017-02-15T13:45:45.000Z,,False,False,,,bot
4705947570,The_GamersUnion,4066,367,3,2016-01-04T00:07:28.000Z,983487840641339392,False,False,,,bot
2214268855,COL1853,136,2054,43,2013-11-25T15:44:55.000Z,,False,False,,"Lawrence, Massachusetts",human
27725752,KIMBeautyBar,75,3087,6,2009-03-30T20:51:26.000Z,,False,False,,"Charlotte, NC ",human
350425032,indayebadidaye,444,80806,8,2011-08-07T19:09:27.000Z,1473272068129292293,False,False,,"Manila, Philippines",human
2915766225,anuragkashyap72,346,12945,773,2014-12-11T16:40:54.000Z,,False,True,,Mumbai,human
161419220,ActorLeeMinHo,2,834,9898,2010-06-30T20:16:29.000Z,,False,True,,"Seoul, Korea",human
82776021,carlinhoshumor,445,7218,3830,2009-10-16T02:27:08.000Z,,False,False,,Brasil - SP,human
3947302876,daninoleaf,692,2232,1,2015-10-13T14:36:31.000Z,,False,False,,NorCal,human
877508955265789957,qbqzwwjpyu2444,0,222,0,2017-06-21T12:50:13.000Z,,False,False,,,bot
27201512,kazuyo_k,21497,45841,18830,2009-03-28T08:53:48.000Z,,False,True,,東京に戻りました,human
198381553,erinmcunningham,3032,596,2228,2010-10-04T04:02:29.000Z,,False,True,,"Washington, DC",human
845752365307351040,WathenElease,0,291,0,2017-03-25T21:40:52.000Z,,False,False,,,human
1660620799,surveyist,202,5875,7,2013-08-10T17:29:38.000Z,,False,False,,"Massachusetts, USA",bot
721127537674489856,ReElectNydia,273,6378,235,2016-04-16T00:06:17.000Z,1110217894632267778,False,True,,New York,human
839596085660291072,JulieDunphy,757,3268,6,2017-03-08T21:58:00.000Z,1225073624534650880,False,True,,"Wilkes-Barre, PA",human
788038456274522112,Rosamar70892339,114,3254,0,2016-10-17T15:26:23.000Z,,False,False,,,bot
719279888054816768,differencebot,1,30530,40,2016-04-10T21:44:23.000Z,,False,False,,,bot
709517509607755778,FuckDonnyTrump,894,7586,11,2016-03-14T23:12:11.000Z,1269430289555693570,False,False,,In the media too much,human
776900848932818948,jdsailors,493,39113,6,2016-09-16T21:49:31.000Z,1457112365409792002,False,False,,,human
36376606,everydaycaitlin,1203,19564,96,2009-04-29T14:56:50.000Z,,False,True,,"Brooklyn, NY",human
4840165405,wangyan_3311,0,2073,0,2016-01-31T13:58:49.000Z,,False,False,,,bot
1476071456,twoguysonaplane,329,2138,26,2013-06-02T01:06:47.000Z,1507700164647137288,False,False,,"Philadelphia, PA",human
266801190,turcacat,1194,26816,222,2011-03-15T21:00:49.000Z,1257796959450079239,False,True,,Ecuador,human
2704478260,ImparatoPasqual,141,8770,22,2014-07-12T20:06:02.000Z,,False,False,,,bot
95883322,chromless,1638,282419,55,2009-12-10T11:42:19.000Z,1245188015674155009,False,False,,惑星てんぺすた港湾部跡地,human
329191487,vAbady,162,75081,17,2011-07-04T17:40:31.000Z,,False,False,,Jeddah,human
707963224990355456,cmarymase,294,206,3,2016-03-10T16:16:01.000Z,,False,False,,"Washington, DC",human
784355971380482048,vadimtosslytkin,20,341,0,2016-10-07T11:33:31.000Z,,False,False,,,bot
3726874400,0220yuho1206,277,14141,0,2015-09-29T15:01:08.000Z,1204648113652170752,False,False,,,human
87232603,HeyJenniSanz,0,3127,0,2009-11-03T17:00:06.000Z,,False,False,,,bot
1489703012,OTruta,657549,4533,1271,2013-06-07T06:44:52.000Z,680869324115054595,False,False,,"New England, USA",bot
484380777,indievestments,229,27,79,2012-02-06T01:44:31.000Z,1349808938712248322,False,False,,,human
335482988,MIDIFINGAZ,297,2679,2,2011-07-14T19:10:48.000Z,,False,False,,Atlanta Ga.,human
35852405,poprocks2359020,0,2154,0,2009-04-27T20:35:28.000Z,,False,False,,United States,bot
824259310742081538,wilma_mui,181,224,1,2017-01-25T14:15:08.000Z,,False,False,,"Washington, DC",human
150671488,Hartmanrique,0,34,0,2010-06-01T14:33:42.000Z,972283310499020800,False,False,,,bot
382406795,CliffsBaby10,0,50,0,2011-09-30T00:58:52.000Z,,False,False,,Bayshore NY,bot
3459977360,prasoonjoshi_,199,958,106,2015-09-05T14:04:24.000Z,,False,True,,,human
42668179,DamienMagician,7330,33043,137,2009-05-26T17:10:48.000Z,1267048430112735234,False,True,,"London, England",human
88805528,MrsSarahHarvey,707,20176,5,2009-11-10T00:25:16.000Z,,False,False,,"Pennsylvania, USA",human
32182433,jayeded345,17,3068,0,2009-04-16T22:30:23.000Z,,False,False,,US of A,bot
362746034,Beth_Troutman,1649,3527,72,2011-08-26T22:39:09.000Z,,False,True,,"Charlotte, NC",human
46076081,anikakwinana,610,7099,9,2009-06-10T09:41:21.000Z,,False,False,,,human
2200899777,Dai2xs_,1152,9407,0,2013-11-29T20:23:06.000Z,707989686560681989,False,False,,,human
18813143,SirWesleyThe1st,1869,69186,0,2009-01-09T20:05:43.000Z,515640891520733184,False,True,,"Harrisburg, PA (not Philly)",human
155128025,PriscillaOno,261,3164,39,2010-06-13T05:37:45.000Z,,True,False,,LOS SCANDALOUS,human
511119579,CoachD1973,100,1434,1,2012-03-02T00:47:39.000Z,,False,False,,"Thief River Falls, MN",human
191828188,candetinelli,1448,27670,605,2010-09-17T13:25:03.000Z,1516763192311037954,False,True,,,human
951259362,NuR_SweEt97,518,855,0,2012-11-16T08:32:02.000Z,,False,False,,,human
842901068396814336,fkryhzprzrnl221,722,281,0,2017-03-18T00:50:49.000Z,,False,False,,,human
1028067572,bennettjames92,0,2900,0,2012-12-22T08:36:47.000Z,,False,False,,,bot
501944566,TawnyMLara,1125,10837,36,2012-02-24T16:54:11.000Z,1139156652018536451,False,False,,"New York, NY",human
1374621949,N3m1sys,464,1049,3,2013-04-23T13:23:36.000Z,,False,False,,"Wisconsin, USA",human
511119622,HoransUniverse,472,3353,0,2012-03-02T00:47:41.000Z,,False,False,,sydney ,human
806031630,PClarks12,179,1678,6,2012-09-06T04:27:39.000Z,884793574881198080,False,False,,,human
16191760,Marisol_Bello,2019,7948,171,2008-09-08T20:42:28.000Z,,False,True,,"ÜT: 38.899903,-77.080322",human
4111405333,DunganCharles,31,3825,20,2015-11-03T09:19:33.000Z,,False,False,,México,bot
2785480981,makeinindia,139,21836,1888,2014-09-02T07:31:24.000Z,,False,True,,,bot
280695085,Carrieann020,0,366,0,2011-04-11T21:26:59.000Z,,False,False,,LDN -NW ,human
2862813495,MiMaresca429,177,1697,0,2014-11-05T17:10:56.000Z,,False,False,,,human
3534950715,ZoranCardula,148,125,1,2015-09-03T14:53:07.000Z,,False,False,,Former Yugoslav Republic of Ma,human
196546877,RamonaAmodeo,417,4326,21,2010-09-29T11:10:54.000Z,,False,False,,Napoli,human
358814014,ashwinravi99,349,5886,2343,2011-08-20T15:05:43.000Z,,False,True,,Chennai,human
237179223,_IHimI_,205,19842,0,2011-01-12T07:40:36.000Z,,False,False,,On Blue Hill Avenue,bot
25629019,rianjohnson,1231,4728,3239,2009-03-21T03:02:16.000Z,,False,True,,Los Angeles,human
1979650400,KateWalter12,5460,66101,69,2013-10-21T18:47:23.000Z,797895000881119232,False,False,,Manhattan,human
969284050178453506,birdbot4,2,4798,5,2018-03-01T18:51:40.000Z,,False,False,,,bot
283840870,TotRojas77,392,946,0,2011-04-18T03:54:08.000Z,,False,False,,,human
1031475576,fashizi311,2363,29502,4,2012-12-23T22:50:22.000Z,1497198042876989442,False,False,,Pastures Green ,human
8851832,david_alecock,1386,6177,72,2007-09-13T11:17:37.000Z,,False,False,,"Orlando, Florida",human
894364224704655363,jbpnjyoltztovt1,0,126,0,2017-08-07T01:07:02.000Z,,False,False,,,human
368775568,deby_borosky,451,2712,0,2011-09-06T06:23:28.000Z,,False,False,,,bot
98242963,gabyvargasmx,700,15315,2461,2009-12-21T00:49:32.000Z,1512878063033454598,False,False,,"Mexico, D.F.",human
817509191950761984,OrbitCity210,90,7221,0,2017-01-06T23:12:34.000Z,1458482078861905921,False,False,,"Newport, DE",human
226693527,renefris,4551,1576,15,2010-12-14T20:47:21.000Z,,False,False,,#SCKonFifth ,human
1675563421,LuluLemew,5502,326337,188,2013-08-16T11:45:27.000Z,1496638704584118273,True,False,,This Planet We SHARE ッ,human
36376988,RicaPerrone,1770,117,1271,2009-04-29T14:58:23.000Z,1515762234743529483,False,True,,Rio de Janeiro,human
1877152158,katie_osbornexx,244,6589,2,2013-09-17T22:47:52.000Z,,False,False,,Florida 🌞,human
102699435,AmandaShank,1932,5308,66,2010-01-07T14:51:00.000Z,,False,False,,Maryland,human
242684340,everythinstudnt,739,9728,142,2011-01-25T10:35:39.000Z,1308663223969886210,False,True,,"London, England",human
843679847943553024,maomichihan,90,1915,0,2017-03-20T04:25:25.000Z,,False,False,,Zhejiang,bot
1123750332,s4ilorprincess,42,2974,0,2013-01-27T02:31:12.000Z,,False,False,,,human
2185433534,Darleanxo,532,43490,0,2013-11-10T02:28:42.000Z,,False,False,,,human
199954888,gamerjanuario,97,7928,5,2010-10-08T03:12:10.000Z,,False,False,,Viradouro/SP,human
262345210,Fenamil,36,39,0,2011-03-07T21:41:55.000Z,964946657770164225,True,False,,Addis Ababa,bot
842498507370102785,amethyst_idk,562,78649,18,2017-03-16T22:11:11.000Z,1381386428601442305,False,False,,Gallifrey,human
74125834,WildwoodBarbie,1860,3154,3,2009-09-14T10:29:49.000Z,,False,False,,,human
945492493,Haruka_NKGW10,283,27300,3095104,2012-11-13T09:39:54.000Z,1014784826358894593,False,True,,"Jakarta-indonesia,tokyo-japan",human
