followed_id,follower_id,follower_username,follower_name,follower_created_at,follower_description,follower_location,follower_pinned_tweet_id,follower_followers_count,follower_following_count,follower_tweet_count,follower_listed_count
53779179,781684125296168960,gabizinhacamara,Câmara,2016-09-30T02:36:33.000Z,XVIIII/💍💓,"Loanda, Brasil",1440295980453167113,1049.0,493.0,9619.0,0.0
53779179,1386817842922860551,gabidarcim11,gabi,2021-04-26T23:02:03.000Z,"dentista, 21y 💖","Manoel Ribas, Brasil",1480320009272725505,395.0,193.0,2625.0,0.0
53779179,1468619493207572480,Gabis_Goes,Gabriele Goes,2021-12-08T16:33:15.000Z,Be you ✨,,,4.0,16.0,0.0,0.0
53779179,1475611624992083975,tai_cavallii,Tainara Cavalli,2021-12-27T23:37:34.000Z,,"Loanda, Brasil",,40.0,68.0,33.0,0.0
53779179,103288329,LariissaWolff,larisuolf,2010-01-09T14:55:49.000Z,🐾 Insta: Larisswolff,"Maringá, Brasil",,1975.0,1066.0,175706.0,6.0
53779179,1441109312433102852,MarthielleC,Marthielle Chagas,2021-09-23T18:36:58.000Z,,,1487444674176507911,94.0,138.0,913.0,0.0
53779179,3402076510,gabiebritto,gabzinha,2015-08-03T23:54:58.000Z,eu não digo mais nada,Maringá,1400641573910724613,447.0,334.0,21239.0,0.0
53779179,1082262767468531713,maria_antonioo,maria clara,2019-01-07T13:08:46.000Z,emocionalmente instável então não me perturbe,"Loanda, Brasil",1346204565230727168,1140.0,475.0,9458.0,0.0
53779179,1391907978400391168,CarolFenner6,Carol Fenner,2021-05-11T00:08:30.000Z,,,,9.0,104.0,4.0,0.0
53779179,1307354042838986752,gabboneti,Gab Boneti,2020-09-19T16:21:19.000Z,,,,56.0,39.0,157.0,0.0
53779179,1377627311894368259,bea_rodrigues14,Bea,2021-04-01T14:22:44.000Z,,,,147.0,224.0,542.0,0.0
53779179,745792705612099584,xingoadson,xingo,2016-06-23T01:36:52.000Z,me indica lá no seu trampo,"Loanda, Brasil",1284986499965095936,75.0,167.0,3889.0,0.0
53779179,1352104356997423104,poneizinho_rex,Milena,2021-01-21T04:03:05.000Z,,"Mandaguaçu, Brasil",1420542668602478593,621.0,452.0,285.0,0.0
53779179,1346563464588910597,ludymilasiiq_,•LUDYMILA•,2021-01-05T21:06:15.000Z,"19, virginiana | être lumière dans le monde🦋",044,1394710721016045574,645.0,303.0,930.0,0.0
53779179,992158214476189697,66savin,SL,2018-05-03T21:45:26.000Z,,,,797.0,704.0,1344.0,0.0
53779179,1250953137545973760,LiperaAlves_,Lipe,2020-04-17T01:04:09.000Z,@luis_alvess,,1355883759363633155,69.0,115.0,2341.0,0.0
53779179,1231989325748940802,FayssonD,Faysson Danilo🍺,2020-02-24T17:09:23.000Z,um verdadeiro nesse mundo de falsidades,,,16.0,139.0,130.0,0.0
53779179,532688190,bbribeiroo,Bruna Ribeiro,2012-03-21T22:15:28.000Z,,,,435.0,602.0,33061.0,0.0
53779179,1134560490045300736,GeovanaZorzi,𝓩𝓸𝓻𝔃𝓲,2019-05-31T20:41:14.000Z,A vida é um forninho e eu sou a Geovana. Namorando um grande gostoso @gu1mel,+44,,395.0,506.0,3607.0,0.0
53779179,1223717596727533569,maribianco_,mari,2020-02-01T21:20:39.000Z,paciência em pessoa,"Foz do Iguaçu, Brasil",1453401707984138241,822.0,279.0,3072.0,0.0
53779179,820102394080018433,_llcamposs,Lucas,2017-01-14T02:57:02.000Z,,"Astorga, Brasil",1187037034743042048,620.0,392.0,6067.0,0.0
53779179,1287437046903078912,GabrielTrevisi,Gabriel,2020-07-26T17:18:23.000Z,"ADM/UEM

💚🐷 @Palmeiras","Maringá, Paraná",,101.0,415.0,4570.0,0.0
53779179,1316747312430043137,Thalimnogueira,Thalitta Martins,2020-10-15T14:26:49.000Z,,"Loanda, Brasil",,37.0,53.0,7.0,0.0
53779179,1314559785803689986,EloNegrizolli,Eloise Negrizolli,2020-10-09T13:34:21.000Z,... arquivando memorias ♡,,,12.0,62.0,1.0,0.0
53779179,1270557692537589761,arraujo_anaa,𝖆𝖓𝖆 𝖇𝖊𝖆,2020-06-10T03:25:50.000Z,•🌸🦋✨,,1520264967827697665,1953.0,1183.0,5944.0,0.0
53779179,838129325564125184,xxlwtss,Letícia F,2017-03-04T20:49:37.000Z,"Dea, amore 🔥",,,966.0,530.0,16059.0,0.0
53779179,2769997956,nisoaress,nicole,2014-08-26T14:15:23.000Z,,044,1463456206127779840,369.0,125.0,1736.0,0.0
53779179,1142020016918937600,gingueleski18,❤️,2019-06-21T10:42:44.000Z,"Quando tudo começar a dar certo, prometa não se esquecer de Deus ❤",,,9.0,152.0,26.0,0.0
53779179,1262477948495572992,Gaby26245598,🅖🅐🅑🅘 👻,2020-05-18T20:19:41.000Z,🏙️Pr/Loanda ⚖️ 👨‍❤️‍💋‍👨 /22/ Mamãe do C.Henrique 💙,,,47.0,587.0,2511.0,3.0
53779179,974376781842173953,CampanariRafael,CAMPANARI🔮,2018-03-15T20:08:22.000Z,"Marketing Digital🧠
Produtor Musical|🎹
Gang,back in the stu|🍒
Beat,Mix e Master🎚️
(r&b/trap)| Love Song|
Jogador de Basquete🏀|
@lakers|
Worldwide🌐","Paraná, Brasil",1322770710616571904,389.0,4199.0,226.0,0.0
53779179,736984046626996224,gabyrielly,😁,2016-05-29T18:14:24.000Z,Artes cênicas Uem 🎭 Dangerleaders 🧡💙,"P. Sherman, 42, W. Way Sydney",,691.0,145.0,11816.0,0.0
53779179,1160717788991954945,Rafelaas,Só rafa 🌙,2019-08-12T01:01:00.000Z,⚽️🌙🦋♏️,"Santa Isabel do Ivaí, Brasil",1519895290114945024,370.0,394.0,3404.0,0.0
53779179,1211289898264588289,Gabrielydiasz,Gabriely Dias,2019-12-29T14:16:38.000Z,💎💎,"Paraná, Brasil",,57.0,55.0,74.0,0.0
53779179,950717574093950976,Thequeen0008,Stefany 👑,2018-01-09T13:15:07.000Z,"Meta é ganhar o Oceano, não se apaixonar em anzol ☄️","Rio de Janeiro, Brazil",1304031348534005761,583.0,1736.0,63.0,0.0
53779179,1295937288866803712,_isaaaRF,Isabella Ribeiro,2020-08-19T04:15:16.000Z,Aquariana e chata,"Maringá, Brasil",,208.0,120.0,965.0,0.0
53779179,974458038710095877,miguelpbarros,Miguelito ⚖️🎾,2018-03-16T01:31:15.000Z,,"Cacoal, Brasil",,1176.0,1107.0,1365.0,0.0
53779179,1025573291304595461,bea_chii,Bea,2018-08-04T02:45:01.000Z,Nem sei oq to fazendo aqui... eh isto,"Loanda, Brasil",,570.0,369.0,6306.0,0.0
53779179,841721715176681472,RuzzonAna,𝔄𝔫𝔞²,2017-03-14T18:44:30.000Z,,"Paraná, Brasil",,548.0,406.0,613.0,0.0
53779179,1114723180692815873,anapossani_,Ana Carolinda,2019-04-07T02:54:51.000Z,,,,145.0,121.0,4488.0,0.0
53779179,3304258775,guiartdrawn,𝕾𝖕4𝖜𝖓 Art 🌐,2015-05-31T01:42:29.000Z,"A arte de não agradar ninguém 
It Was A Good Day..

PAU NO CU DO BOLSONARO","Colorado, Brasil",1328492826703908865,1768.0,1823.0,30645.0,0.0
53779179,994292669848477701,RenataBarros180,re,2018-05-09T19:07:00.000Z,"invicta
 @Palmeiras
✊🏿","Paraná, Brasil",1436662374489104389,292.0,216.0,4581.0,0.0
53779179,1228631650097037313,Perdididinha,Ainaoné!,2020-02-15T10:46:43.000Z,, Brasil,,7.0,67.0,76.0,0.0
53779179,220717217,amandaaraaujo_,mands,2010-11-28T16:49:20.000Z,Bacharela em Direito | 23,"Paraná, Brasil",1481425637416091650,759.0,346.0,22168.0,2.0
53779179,4035230745,Annah_DSD,tchau pra quem namora,2015-10-25T00:37:07.000Z,não tenho nada pra fala aqui,,,66.0,727.0,16.0,0.0
53779179,870045988425261057,panassi_ani,ani,2017-05-31T22:35:03.000Z,XVIII,"Paraná, Brasil",1222937485803737091,967.0,429.0,6278.0,0.0
53779179,3331954403,lvmulari,Laví,2015-06-18T00:06:22.000Z,segue aí p ver minhas reclamações diárias,"Loanda, Brasil",866610408349741056,351.0,176.0,11718.0,0.0
53779179,64425077,hevertonlofer,h e r t o,2009-08-10T15:08:54.000Z,"♉ Heverton, 25, hétero não praticante, sulista gente boa e apaixonado por café, literatura e Lana del Rey","Maringá, Brasil",662436990139371520,741.0,609.0,13071.0,1.0
53779179,46815315,yell0wsubmarina,marina f*,2009-06-13T03:23:36.000Z,fly me to the 🌙,Brasil,1336331167893606400,1244.0,910.0,60052.0,15.0
53779179,1255308006188867585,BonfimBueno,Larissa Bueno Bonfim,2020-04-29T01:31:06.000Z,👧🏻👨‍👩‍👧,"Loanda, Brasil",1320562144631402496,35.0,98.0,429.0,0.0
53779179,1283138737556389890,bmaanapaula,Ana Paula,2020-07-14T20:38:26.000Z,,,1315067258914381826,77.0,113.0,434.0,0.0
53779179,1210039892710957056,dayalla11,Dayalla,2019-12-26T03:29:38.000Z,"“Os contidos que me perdoem, mas eu nasci pra ser intensa.”","São Pedro do Paraná, Brasil",,134.0,669.0,226.0,0.0
53779179,1216559167890173952,kikuchitamie,TAMIE,2020-01-13T03:14:56.000Z,,"São Pedro do Paraná, Brasil",1271082372503605249,210.0,144.0,1018.0,0.0
53779179,1275236136840019969,DeboraC_Souza,Débora,2020-06-23T01:16:33.000Z,✨,"Loanda, Brasil",,36.0,129.0,8.0,2.0
53779179,864678565182394369,nandaa_fer19,F+,2017-05-17T03:06:49.000Z,eu goxto é do extragoo • ♑️ •,"Umuarama, Brasil",970304133541621760,162.0,294.0,1360.0,0.0
53779179,1146527984532250624,biaademeu,B,2019-07-03T21:15:47.000Z,,Brasil,1448059590487183364,230.0,596.0,5868.0,0.0
53779179,3308261657,DemeuBeatriz,bêzinha,2015-06-04T14:45:32.000Z,Welcome to my world 🤹🏼‍♀️🤸🏼‍♀️,"Loanda, Paraná",1277562459725971456,90.0,87.0,2241.0,0.0
53779179,408844110,vinicera98,𝗩𝗶𝗻𝗶𝗰𝗶𝘂𝘀,2011-11-09T23:35:03.000Z,Brasil é guerra neguin !,"Maringá, Brasil",794370322791301120,670.0,588.0,9893.0,0.0
53779179,1247593299671748612,jescharf1,Jennifer com dois N,2020-04-07T18:33:29.000Z,Insta: @jescharf,,,173.0,138.0,1050.0,0.0
53779179,1266469857081655296,joiceaj,joice,2020-05-29T20:42:19.000Z,,,,64.0,98.0,0.0,0.0
53779179,1093503866312839168,ananardo_,ana,2019-02-07T13:36:52.000Z,20 aninhos • ♒ • med cesu 4/6,"Maringá, Brasil",1520695587431194624,1166.0,396.0,10118.0,0.0
53779179,1185879619557306374,LidianaStefany,Lidiana Stefany,2019-10-20T11:25:31.000Z,,,,121.0,598.0,835.0,0.0
53779179,1270428635560894465,mnonatoaline,Alinenonato,2020-06-09T18:52:54.000Z,,Loanda ,,96.0,84.0,381.0,0.0
53779179,336668416,niallertz,ad hoc,2011-07-16T18:01:12.000Z,they haven't seen the best of us yet,,1290420770477355010,1501.0,2089.0,27590.0,0.0
53779179,720767862751760388,h_victorf,BARBIE SILICONADA,2016-04-15T00:17:04.000Z,LEONINO COM ASCENDENTE EM AQUÁRIO,"Loanda, Brasil",,377.0,192.0,4396.0,0.0
53779179,1112180053658558464,becerqueira_,Biazinha,2019-03-31T02:29:22.000Z,,,,50.0,124.0,225.0,0.0
53779179,1118100628235071488,elie_lton,eu1tom,2019-04-16T10:35:37.000Z,Beba água caraio,"Santa Catarina, Brasil",1203561917807243264,6.0,46.0,7.0,3.0
53779179,1067849091428831232,saahmuniz_,sαвriทα,2018-11-28T18:33:57.000Z,19y | Deseje o bem que o resto vem!☘💫,"Loanda, Brasil",1242607163832446980,188.0,117.0,1657.0,0.0
53779179,522701189,RadrielliNeves,R.N 💕,2012-03-13T00:08:44.000Z,"-O choro pode durar uma noite, mas a alegria vem pela manhã.— Salmos 30:5 🙌🏻🙏🏼","Loanda, Brasil",,348.0,1062.0,6140.0,0.0
53779179,1105525453757001737,CarneiroMaise,Maise Carneiro,2019-03-12T17:46:22.000Z,🌺,,,114.0,210.0,326.0,0.0
53779179,1253132960,DaniEstruzani,Dani,2013-03-09T01:28:00.000Z,Eu nunca sei oque por na bio,loanda- pr,1496594111863926799,563.0,143.0,1899.0,0.0
53779179,1163959184087486464,raamosmari,Mari,2019-08-20T23:41:18.000Z,,,,210.0,221.0,190.0,0.0
53779179,165787648,DeboraSaartori,Débinha,2010-07-12T14:57:45.000Z,Recalque de polly pocket não atinge barbie girl,,1250562097529999367,1436.0,860.0,61996.0,0.0
