id,attachments,context_annotations,conversation_id,created_at,account_id,in_reply_to_user_id,lang,retweet_count,reply_count,like_count,quote_count,reply_settings,source,text,mentions,hashtags,urls
1498506850588712962,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1059669906201862144', 'name': 'Jack Posobiec', 'description': 'Jack Posobiec'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}]",1498328207334027264,2022-03-01T03:54:08.000Z,2433787058,808907412,en,0.0,0.0,0.0,0.0,everyone,Twitter for iPad,"@SotoJellian3500 @JackPosobiec Trump, at least accomplished something.","['SotoJellian3500', 'JackPosobiec']",[],[]
1498506031248207873,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1059669906201862144', 'name': 'Jack Posobiec', 'description': 'Jack Posobiec'}}]",1498328207334027264,2022-03-01T03:50:53.000Z,2433787058,592730371,en,1.0,0.0,0.0,0.0,everyone,Twitter for iPad,@JackPosobiec AMEN…..,['JackPosobiec'],[],[]
1498505427637600257,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1059669906201862144', 'name': 'Jack Posobiec', 'description': 'Jack Posobiec'}}]",1498328207334027264,2022-03-01T03:48:29.000Z,2433787058,82211673,en,0.0,0.0,5.0,0.0,everyone,Twitter for iPad,@stubborn_swede @JackPosobiec He has screwed up everything he’s tried.,"['stubborn_swede', 'JackPosobiec']",[],[]
1466188699541012481,,,1466118926996230148,2021-12-01T23:33:21.000Z,2433787058,111400999,en,0.0,0.0,0.0,0.0,everyone,Twitter for iPad,"@JaniceDean Sorry, I can’t get my code right",['JaniceDean'],[],[]
1437171363165270017,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '989579035599515648', 'name': 'Jim Jordan', 'description': 'US Representative Jim Jordan (OH-04)'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '989579035599515648', 'name': 'Jim Jordan', 'description': 'US Representative Jim Jordan (OH-04)'}}]",1364607989211156481,2021-09-12T21:48:48.000Z,2433787058,18166778,en,0.0,0.0,0.0,0.0,everyone,Twitter for iPhone,@Jim_Jordan And a great leader.,['Jim_Jordan'],[],[]
1436891063994650625,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1138070898013982721', 'name': 'Ryan Fournier', 'description': 'Political Commentator and Analyst '}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '1138070898013982721', 'name': 'Ryan Fournier', 'description': 'Political Commentator and Analyst '}}]",1402756965877653504,2021-09-12T03:15:00.000Z,2433787058,166751745,en,0.0,0.0,0.0,0.0,everyone,Twitter for iPad,@RyanAFournier That’s right,['RyanAFournier'],[],[]
1436890627384365058,,,1402705839752888322,2021-09-12T03:13:16.000Z,2433787058,1101953865409314817,en,0.0,0.0,0.0,0.0,everyone,Twitter for iPad,@GingersPage I love America,[],[],[]
1382844713389092866,,,1382368934305935361,2021-04-15T23:54:06.000Z,2433787058,1298826170595770371,en,0.0,0.0,0.0,0.0,everyone,Twitter for iPad,@CzaplickiStan @JaniceDean Piece of shit,"['CzaplickiStan', 'JaniceDean']",[],[]
1335798588673159168,,,1335798588673159168,2020-12-07T04:09:36.000Z,2433787058,,en,0.0,0.0,1.0,0.0,everyone,Twitter for iPhone,WishDates Join Us and Find your Couple https://t.co/1yRMIvyTr9,[],[],['https://m.wishdates.com/wizard/preferences-join-reasons']
1296964836933251072,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}]",1296853687487401985,2020-08-22T00:18:08.000Z,2433787058,960285302899298304,und,0.0,0.0,0.0,0.0,everyone,Twitter for iPad,@EvanAKilgore @realDonaldTrump Yes,"['EvanAKilgore', 'realDonaldTrump']",[],[]
